time,eeg-ch1,eeg-ch2,eeg-ch3,eeg-ch4,eeg-ch5,eeg-ch6,gyro-gyro1,gyro-gyro2,gyro-gyro3,acc-acc1,acc-acc2,acc-acc3,ppg-ambient,ppg-ir,ppg-red
5.33203125,0.0,0.0,1470.6866559853515,1618.1506065461203,0.0,0.0,-13157.535139820391,-1674758.8238490405,13112.84101300983,90681.53940205327,65657.13895936873,970384.9979359112,33804665233.89602,23867544945.888733,71162356.73068783
5.3359375,0.0,0.0,1650.0,1650.0,0.0,0.0,-28828.483745102923,-1668029.88342806,16188.523034417216,91110.21566587525,64332.42205061465,970059.8512259441,33804831151.420147,23861835526.403362,62132520.84065847
5.33984375,5.664911879148575,5.664911879148575,1244.6440833142597,1538.3634699015793,0.0,0.0,-46842.171768104636,-1663025.1246774506,15090.960409772966,91249.00790097746,63909.7001879428,970454.3648493149,33803225818.984196,23857316476.73274,59691373.54649151
5.34375,0.0,0.0,1650.0,1650.0,0.0,0.0,-65999.40661969778,-1661380.2138032506,10343.652441101402,91123.4218038631,64555.993447082255,971498.0545927774,33800681818.875427,23855449698.63433,65536949.72151425
5.34765625,778.8876173037308,779.2904554818036,947.2739757381551,992.4170290684367,0.0,0.0,-84266.43234809425,-1664306.5496259425,3195.1861773757673,90847.06340591249,66036.42743939398,972871.1705454858,33796439472.163475,23855925805.28488,77464841.24807076
5.3515625,1650.0,1650.0,0.0,0.0,0.0,0.0,-98874.92085708522,-1672028.3568575254,-4646.271091940477,90558.62755362355,67808.70661730888,974119.6410234974,33789202447.449177,23857105673.185726,90392659.43271138
5.35546875,1182.1789883268484,1182.1789883268484,0.0,231.30464637216753,0.0,0.0,-106817.86194093975,-1683534.5685914538,-11472.867574910582,90356.07932776825,69231.28431289588,974816.0938484515,33778895554.01715,23857197996.476143,98621388.265962
5.359375,85.02403295948726,85.42687113756006,945.6626230258639,1379.6200503547723,0.0,0.0,-105684.41688361955,-1696769.922890546,-16070.06673209211,90256.72979449925,69804.39040820992,974708.6724840446,33767913344.014683,23855449698.634327,98305424.58232957
5.36328125,0.0,0.0,1650.0,1650.0,0.0,0.0,-94601.81331640374,-1709218.0418476118,-18051.662152500685,90199.20076386971,69352.07345186624,973805.1699742716,33760888640.445053,23852653325.245907,89072802.92656976
5.3671875,630.9956511787594,631.3984893568322,1020.6157015335317,961.3733119707027,0.0,0.0,-74941.74895527335,-1718672.9684531246,-17898.201878370997,90084.29326598658,68077.55051952477,972364.6162804731,33762847610.802177,23850692860.518806,74151780.45093447
5.37109375,1650.0,1650.0,5.664911879148575,0.0,0.0,0.0,-50461.2044983977,-1723917.449072659,-16676.26389996974,89834.6412142335,66473.67421397974,970802.4594464919,33776589237.79436,23851409116.6381,59013982.55089016
5.375,1392.1080338750287,1392.5108720531016,0.0,35.474937056534706,0.0,0.0,-26697.23127732502,-1725057.659200641,-15548.071848277947,89444.92961188835,65125.912328249964,969546.2170513325,33800681818.875446,23855449698.634342,49152712.29110658
5.37890625,244.19546807049664,244.19546807049664,779.2904554818036,1101.6113527122911,0.0,0.0,-9681.470177443249,-1723392.9543689962,-15272.367296283408,88998.69507770578,64485.55786884425,968894.7892315123,33829274267.848064,23861766870.709625,47934943.51898933
5.3828125,0.0,0.0,1650.0,1650.0,0.0,0.0,-4298.459898190963,-1720874.9379859043,-15906.853194603222,88642.41934821643,64700.780084903876,968930.9830828705,33854047396.79253,23868051539.98402,55387719.00903494
5.38671875,662.0393682764935,662.4422064545663,1182.1789883268484,944.0512703135729,0.0,0.0,-12783.827254199254,-1719363.8327314616,-16842.149669565653,88526.5116920388,65569.30617712397,969515.2124037978,33867525778.065487,23871863265.053017,68359542.31090079
5.390625,1650.0,1650.0,85.42687113756006,0.0,0.0,0.0,-33869.49410581568,-1719962.1415636982,-17157.600577053607,88737.82688120285,66628.66023191686,970357.4258176829,33866218768.59694,23871833936.064674,81921187.15192191
5.39453125,522.2041657129778,522.2041657129778,631.3984893568322,895.3078507667659,0.0,0.0,-62913.06874245986,-1722668.829722151,-16147.690060085426,89253.12034058341,67346.70372770664,971135.9036135157,33852070473.022423,23868295542.34833,91375831.43556577
5.3984375,0.0,0.0,1650.0,1650.0,0.0,0.0,-93044.19317141923,-1726467.6404776888,-13784.902644321652,89935.0959111417,67337.18100175321,971616.1433361141,33831487639.226646,23863015103.733784,94031038.3397078
5.40234375,682.5841153582055,682.5841153582055,1392.5108720531016,1103.6255436026552,0.0,0.0,-117021.92760569535,-1729792.768281278,-10898.987807151652,90575.45484860342,66516.40548025527,971725.8702806863,33812388851.402145,23858216611.07026,90024063.7420756
5.40625,1650.0,1650.0,244.19546807049664,38.2948043030442,0.0,0.0,-129243.67638000425,-1731171.2943383981,-8962.762194999079,90969.6301193722,65140.94162840355,971561.4255007985,33800681818.87544,23855449698.634335,81921187.15192193
5.41015625,764.7631036850538,764.3602655069809,662.4422064545663,774.4563973449301,0.0,0.0,-127272.91016105321,-1729780.4112771514,-9539.113507927024,90993.88605699282,63712.55105835194,971328.3988741622,33797839904.303707,23854921075.042,73346501.92587148
5.4140625,0.0,0.0,1650.0,1650.0,0.0,0.0,-112394.52552633079,-1725701.0673119363,-13596.102969832966,90653.1909141104,62787.66412001438,971244.4690967413,33800686470.329174,23855618198.442036,67306477.07888275
